time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,1,34,1,0,30
50,1,46,2,0,30
60,2,58,2,0,30
70,1,71,3,0,30
80,2,89,3,0,30
90,1,100,4,0,30
100,2,112,4,0,30
110,2,141,5,0,30
120,0,150,7,0,30
130,1,152,7,0,30
140,1,162,7,0,30
150,2,177,7,0,30
160,0,188,9,0,30
170,1,190,9,0,30
180,2,209,9,0,30
190,1,229,10,0,30
200,1,239,10,0,30
210,2,252,11,0,30
220,2,272,11,0,30
230,0,278,13,0,30
240,1,281,13,0,30
250,2,297,13,0,30
260,0,313,15,0,30
270,0,313,15,0,30
280,0,313,15,0,30
290,1,318,15,0,30
300,1,335,17,0,30
310,0,339,18,0,30
320,0,347,19,0,30
330,0,347,19,0,30
340,3,366,19,0,30
350,3,390,20,0,30
360,3,420,21,0,30
370,1,441,23,0,30
380,2,458,24,0,30
390,1,477,25,0,30
400,0,483,26,0,30
410,1,486,26,0,30
420,1,496,26,0,30
430,1,506,26,0,30
440,0,510,27,0,30
450,0,510,27,0,30
460,1,514,27,0,30
470,1,524,27,0,30
480,2,543,28,0,30
490,2,565,29,0,30
500,0,578,31,0,30
510,0,578,31,0,30
520,2,589,31,0,30
530,2,609,31,0,30
540,0,618,33,0,30
550,0,618,33,0,30
560,1,621,33,0,30
570,1,637,34,0,30
580,0,646,35,0,30
590,0,646,35,0,30
600,1,647,35,0,30
610,1,657,35,0,30
620,1,673,36,0,30
630,2,685,36,0,30
640,1,697,37,0,30
650,2,717,37,0,30
660,1,728,38,0,30
670,0,733,39,0,30
680,0,733,39,0,30
690,0,733,39,0,30
700,0,733,39,0,30
710,0,733,39,0,30
720,0,733,39,0,30
730,0,733,39,0,30
740,0,733,39,0,30
750,0,733,39,0,30
760,0,733,39,0,30
770,1,739,39,0,30
780,1,749,39,0,30
790,1,759,39,0,30
800,1,771,40,0,30
810,0,871,40,0,30
820,0,964,40,0,30
830,0,997,40,1,30
840,0,1005,40,1,30
850,0,1005,40,2,30
860,0,1005,40,3,30
870,0,1005,40,3,30
880,0,1005,40,5,30
890,0,1005,40,6,30
900,0,1005,40,7,29
910,0,1005,40,8,28
920,0,1005,40,8,28
930,0,1005,40,9,28
940,0,1005,40,10,28
950,0,1005,40,11,28
960,0,1005,40,12,28
970,0,1005,40,12,28
980,0,1005,40,13,28
990,0,1005,40,13,28
1000,0,1005,40,13,28
1010,0,1005,40,13,27
1020,0,1005,40,15,27
1030,0,1005,40,15,27
1040,0,1005,40,16,27
1050,0,1005,40,18,27
1060,0,1005,40,18,27
1070,0,1005,40,18,27
1080,0,1005,40,20,27
1090,0,1005,40,20,27
1100,0,1005,40,20,27
1110,0,1005,40,20,27
1120,0,1005,40,20,27
1130,0,1005,40,20,27
1140,0,1005,40,20,26
1150,0,1005,40,20,26
1160,0,1005,40,21,26
1170,0,1005,40,22,26
1180,0,1005,40,22,25
1190,0,1005,40,22,25
1200,0,1005,40,23,25
1210,0,1005,40,25,25
1220,0,1005,40,25,25
1230,0,1005,40,25,25
1240,0,1005,40,26,25
1250,0,1005,40,27,25
1260,0,1005,40,27,25
1270,0,1005,40,28,25
1280,0,1005,40,29,25
1290,0,1005,40,31,25
1300,0,1005,40,31,25
1310,0,1005,40,32,25
1320,0,1005,40,32,25
1330,0,1005,40,32,25
1340,0,1005,40,33,25
1350,0,1005,40,34,25
1360,0,1005,40,34,25
1370,0,1005,40,34,25
1380,0,1005,40,34,25
1390,0,1005,40,34,25
1400,0,1005,40,34,25
1410,0,1005,40,35,25
1420,0,1005,40,36,25
1430,0,1005,40,38,25
1440,0,1005,40,39,25
1450,0,1005,40,39,25
1460,0,1005,40,40,25
1470,0,1005,40,41,25
1480,0,1005,40,41,25
1490,0,1005,40,42,25
1500,0,1005,40,42,25
1510,0,1005,40,43,25
1520,0,1005,40,45,25
1530,0,1005,40,45,25
1540,0,1005,40,45,25
1550,0,1005,40,46,25
1560,0,1005,40,46,25
1570,0,1005,40,46,25
1580,0,1005,40,47,25
1590,0,1005,40,47,25
1600,0,1005,40,47,25
1610,0,1005,40,47,25
1620,0,1005,40,47,25
1630,0,1005,40,47,25
1640,0,1005,40,47,25
1650,0,1005,40,47,25
1660,0,1005,40,48,25
1670,0,1005,40,48,25
1680,0,1005,40,48,25
1690,0,1005,40,48,25
1700,0,1005,40,49,25
1710,0,1005,40,49,25
1720,0,1005,40,49,25
1730,0,1005,40,49,25
1740,0,1005,40,49,25
1750,0,1005,40,51,25
1760,0,1005,40,52,25
1770,0,1005,40,52,25
1780,0,1005,40,52,25
1790,0,1005,40,53,25
1800,0,1005,40,55,25
1810,0,1005,40,55,25
1820,0,1005,40,56,25
1830,0,1005,40,57,25
1840,0,1005,40,57,25
1850,0,1005,40,57,25
1860,0,1005,40,57,25
1870,0,1005,40,58,25
1880,0,1005,40,58,25
1890,0,1005,40,59,25
1900,0,1005,40,59,25
1910,0,1005,40,61,25
1920,0,1005,40,61,25
1930,0,1005,40,62,25
1940,0,1005,40,62,25
1950,0,1005,40,62,25
1960,0,1005,40,62,25
1970,0,1005,40,63,25
1980,0,1005,40,64,25
1990,0,1005,40,64,25
2000,0,1005,40,64,25
