time,active_robots,distance_traveled_total,tasks_completed,pending_orders,pedestrians_remaining
10,0,0,0,0,30
20,1,10,0,0,30
30,2,21,0,0,30
40,2,41,0,0,30
50,3,69,0,0,30
60,4,101,0,0,30
70,4,141,0,0,30
80,4,184,1,0,30
90,1,212,4,0,30
100,2,224,4,0,30
110,3,254,4,0,30
120,3,284,4,0,30
130,3,308,5,0,30
140,1,332,7,0,30
150,1,339,8,0,30
160,1,349,8,0,30
170,2,361,8,0,30
180,3,390,8,0,30
190,3,420,8,0,30
200,0,432,11,0,30
210,2,439,11,0,30
220,2,459,11,0,30
230,2,479,11,0,30
240,2,502,12,0,30
250,3,528,12,0,30
260,3,558,12,0,30
270,2,582,13,0,30
280,2,602,13,0,30
290,1,618,15,0,30
300,3,647,15,0,30
310,3,677,15,0,30
320,3,714,16,0,30
330,2,739,17,0,30
340,3,771,19,0,30
350,3,802,20,0,30
360,2,821,22,0,30
370,2,841,22,0,30
380,3,872,23,0,30
390,3,902,23,0,30
400,2,925,24,0,30
410,3,948,24,0,30
420,1,970,26,0,30
430,1,980,26,0,30
440,1,990,26,0,30
450,1,1000,26,0,30
460,1,1009,27,0,30
470,1,1019,27,0,30
480,3,1047,27,0,30
490,2,1067,29,0,30
500,2,1087,29,0,30
510,2,1107,29,0,30
520,3,1137,30,0,30
530,3,1167,30,0,30
540,2,1189,31,0,30
550,2,1209,31,0,30
560,2,1225,32,0,30
570,1,1240,34,0,30
580,1,1250,34,0,30
590,1,1260,34,0,30
600,2,1271,34,0,30
610,1,1287,35,0,30
620,1,1306,36,0,30
630,2,1318,36,0,30
640,2,1338,36,0,30
650,2,1362,37,0,30
660,2,1382,37,0,30
670,1,1402,38,0,30
680,0,1406,39,0,30
690,0,1406,39,0,30
700,0,1406,39,0,30
710,0,1406,39,0,30
720,0,1406,39,0,30
730,0,1406,39,0,30
740,0,1406,39,0,30
750,0,1406,39,0,30
760,0,1406,39,0,30
770,1,1412,39,0,30
780,1,1422,39,0,30
790,0,1427,40,0,30
800,1,1433,40,0,30
810,10,1533,40,0,30
820,10,1618,40,0,30
830,10,1662,40,1,30
840,10,1666,40,1,30
850,10,1666,40,2,30
860,10,1666,40,3,30
870,10,1666,40,3,30
880,10,1666,40,5,30
890,10,1666,40,6,30
900,10,1666,40,7,30
910,10,1666,40,8,30
920,10,1666,40,8,30
930,10,1666,40,9,29
940,10,1666,40,10,29
950,10,1666,40,11,29
960,10,1666,40,12,28
970,10,1666,40,12,28
980,10,1666,40,13,28
990,10,1666,40,13,28
1000,10,1666,40,13,28
1010,10,1666,40,13,28
1020,10,1666,40,15,28
1030,10,1666,40,15,28
1040,10,1666,40,16,28
1050,10,1666,40,18,28
1060,10,1666,40,18,28
1070,10,1666,40,18,28
1080,10,1666,40,20,28
1090,10,1666,40,20,28
1100,10,1666,40,20,28
1110,10,1666,40,20,28
1120,10,1666,40,20,28
1130,10,1666,40,20,27
1140,10,1666,40,20,27
1150,10,1666,40,20,27
1160,10,1666,40,21,27
1170,10,1666,40,22,27
1180,10,1666,40,22,27
1190,10,1666,40,22,27
1200,10,1666,40,23,27
1210,10,1666,40,25,27
1220,10,1666,40,25,27
1230,10,1666,40,25,27
1240,10,1666,40,26,27
1250,10,1666,40,27,27
1260,10,1666,40,27,27
1270,10,1666,40,28,27
1280,10,1666,40,29,27
1290,10,1666,40,31,26
1300,10,1666,40,31,26
1310,10,1666,40,32,26
1320,10,1666,40,32,26
1330,10,1666,40,32,26
1340,10,1666,40,33,26
1350,10,1666,40,34,26
1360,10,1666,40,34,26
1370,10,1666,40,34,26
1380,10,1666,40,34,26
1390,10,1666,40,34,26
1400,10,1666,40,34,26
1410,10,1666,40,35,26
1420,10,1666,40,36,26
1430,10,1666,40,38,26
1440,10,1666,40,39,26
1450,10,1666,40,39,26
1460,10,1666,40,40,26
1470,10,1666,40,41,26
1480,10,1666,40,41,26
1490,10,1666,40,42,26
1500,10,1666,40,42,26
1510,10,1666,40,43,26
1520,10,1666,40,45,26
1530,10,1666,40,45,26
1540,10,1666,40,45,26
1550,10,1666,40,46,26
1560,10,1666,40,46,26
1570,10,1666,40,46,26
1580,10,1666,40,47,26
1590,10,1666,40,47,26
1600,10,1666,40,47,26
1610,10,1666,40,47,26
1620,10,1666,40,47,26
1630,10,1666,40,47,26
1640,10,1666,40,47,26
1650,10,1666,40,47,26
1660,10,1666,40,48,26
1670,10,1666,40,48,26
1680,10,1666,40,48,26
1690,10,1666,40,48,26
1700,10,1666,40,49,26
1710,10,1666,40,49,26
1720,10,1666,40,49,26
1730,10,1666,40,49,26
1740,10,1666,40,49,26
1750,10,1666,40,51,26
1760,10,1666,40,52,26
1770,10,1666,40,52,26
1780,10,1666,40,52,26
1790,10,1666,40,53,26
1800,10,1666,40,55,26
1810,10,1666,40,55,26
1820,10,1666,40,56,26
1830,10,1666,40,57,26
1840,10,1666,40,57,26
1850,10,1666,40,57,26
1860,10,1666,40,57,26
1870,10,1666,40,58,26
1880,10,1666,40,58,26
1890,10,1666,40,59,26
1900,10,1666,40,59,26
1910,10,1666,40,61,26
1920,10,1666,40,61,26
1930,10,1666,40,62,26
1940,10,1666,40,62,26
1950,10,1666,40,62,26
1960,10,1666,40,62,26
1970,10,1666,40,63,26
1980,10,1666,40,64,26
1990,10,1666,40,64,26
2000,10,1666,40,64,26
